floor,url,price,title,community,location
低层/6层,http://sh.lianjia.com/zufang/shz3375142.html,3500,实地看房，上门实勘，低区出入方便，吉宅出租,浦三小区,金桥
低层/6层,http://sh.lianjia.com/zufang/shz3379784.html,3800,有爱有家，实地看房，温馨一室，上下楼方便,罗山四村,金杨
中层/5层,http://sh.lianjia.com/zufang/shz3390319.html,3000,光线充足，随到随看，真实在租，上门实拍,上南十村,世博
中层/6层,http://sh.lianjia.com/zufang/shz3391472.html,4000,新里城和合苑，看房方便，空气清新，一室小户型,新里城和合苑,三林
高层/6层,http://sh.lianjia.com/zufang/shz3401137.html,3800,杉林新月，温馨一室，高清实拍，采光无遮挡,杉林新月（环林东路879弄）,三林
低层/6层,http://sh.lianjia.com/zufang/shz3408436.html,2000,潼港八村，上门实拍，马上看房，错过不再有,潼港八村,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3457088.html,3600,田林十一村，交通便利，温馨之家，上门实勘,田林十一村,田林
高层/6层,http://sh.lianjia.com/zufang/shz3377731.html,2800,汇成一村，采光无敌好，看房有钥匙，好房好心情,汇成一村,上海南站
低层/6层,http://sh.lianjia.com/zufang/shz3387587.html,3800,田林十一村，享受好房，火爆热门，上门实勘,田林十一村,田林
低层/6层,http://sh.lianjia.com/zufang/shz3392942.html,3300,龙南三村，降价出租，随时看房，温馨一室,龙南三村,龙华
高层/6层,http://sh.lianjia.com/zufang/shz3422594.html,3600,田林六村，来电即看，业主刚降价，采光无遮挡,田林六村,田林
中层/6层,http://sh.lianjia.com/zufang/shz3388976.html,3500,上门实勘，看房有钥匙，热门带看，1室1厅,东荡小区,上海南站
低层/23层,http://sh.lianjia.com/zufang/shz3420010.html,3900,玉兰花苑，小户型，上门实勘，低区出入方便,玉兰花苑,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3421093.html,3800,田林十四村，生活很便利，高区景观好，高清实拍,田林十四村,田林
低层/6层,http://sh.lianjia.com/zufang/shz3428603.html,4000,上门实勘，热门带看，温馨一室，一链倾城,田林六村,田林
中层/5层,http://sh.lianjia.com/zufang/shz3418315.html,3400,空气清新，出行方便，随到随看，上门实拍,日晖二村,斜土路
高层/2层,http://sh.lianjia.com/zufang/shz3286504.html,4000,采光无遮挡，随到随看，近地铁，1室0厅1卫,安福路29号,衡山路
中层/6层,http://sh.lianjia.com/zufang/shz3306642.html,3800,茶陵小区，一室小户型，钥匙在手，上门实勘,茶陵小区,斜土路
中层/7层,http://sh.lianjia.com/zufang/shz3428558.html,3500,光线充足，生活很便利，降价房源，实地看房,裕德路66弄,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3344665.html,3600,上门实拍，1室1厅，热门房源，生活很便利,西木小区,斜土路
中层/6层,http://sh.lianjia.com/zufang/shz2991161.html,3500,上门实勘，紧邻地铁，抢手火热，链家好房,三江小区,龙华
中层/6层,http://sh.lianjia.com/zufang/shz3409163.html,3600,昌五小区，景观房，有钥匙立即看，1室1厅1卫,昌五小区,世博
高层/6层,http://sh.lianjia.com/zufang/shz3417994.html,3000,金台三居，热门房源，温馨一室，好房好心情,金台三居,金杨
低层/6层,http://sh.lianjia.com/zufang/shz3419690.html,3500,交通便利，链家房源，看房方便，实地看房,东力新村,高行
低层/6层,http://sh.lianjia.com/zufang/shz3424485.html,3000,人气房源，链家房源，生活很便利，上下楼方便,京浦小区,御桥
低层/6层,http://sh.lianjia.com/zufang/shz3409890.html,3800,一室小户型，人气房源，上下楼方便，吉宅出租,上南十二村,世博
低层/6层,http://sh.lianjia.com/zufang/shz3394604.html,4000,出行方便，1室1厅1卫，低楼层，享受好房,培花久远公寓,北蔡
高层/6层,http://sh.lianjia.com/zufang/shz3350121.html,4000,竹园新村，随到随看，人气房源，上门实拍,竹园新村（浦东）,源深
高层/5层,http://sh.lianjia.com/zufang/shz3434093.html,4000,随到随看，上门实拍，人气房源，如您所见,德州二村,世博
高层/6层,http://sh.lianjia.com/zufang/shz3413531.html,2000,潼港八村，热门带看，高清实拍，观望后悔莫及,潼港八村,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3394390.html,3800,热门带看，好房好心情，随到随看，高区阳光房,黄山新村,金杨
中层/6层,http://sh.lianjia.com/zufang/shz3324029.html,3500,德州四村，热门带看，马上看房，吉宅出租,德州四村,世博
高层/6层,http://sh.lianjia.com/zufang/shz3350730.html,3600,金杨七街坊，1室1厅1卫，实地看房，上门实拍,金杨七街坊,金杨
中层/6层,http://sh.lianjia.com/zufang/shz3389575.html,3800,上钢二村，黄金楼层，业主降价出租，交通便利,上钢二村,世博
中层/6层,http://sh.lianjia.com/zufang/shz3408125.html,4000,有钥匙立即看，1室1厅1卫，上门实勘，如您所见,海院小区,源深
中层/6层,http://sh.lianjia.com/zufang/shz3433120.html,3600,罗山六村，1室1厅1卫，光线充足，错过不再有,罗山六村,金杨
中层/6层,http://sh.lianjia.com/zufang/shz3319997.html,3300,潍坊二村，上门实勘，刚刚降价，光线充足,潍坊二村,潍坊
低层/6层,http://sh.lianjia.com/zufang/shz3306348.html,3600,链家房源，紧邻地铁，热门房源，业主刚降价,昌七小区,世博
低层/6层,http://sh.lianjia.com/zufang/shz3425884.html,3500,新鲜上架，地铁沿线，上门实勘，温馨之家,凌四小区,洋泾
中层/6层,http://sh.lianjia.com/zufang/shz3439586.html,3600,凌兆新村，好楼层，新鲜上架，出行方便,凌兆新村（上浦路69弄）,三林
低层/6层,http://sh.lianjia.com/zufang/shz3281990.html,3600,地铁房，随到随看，看房末班车，上下楼方便,金杨二街坊,金杨
低层/6层,http://sh.lianjia.com/zufang/shz3306736.html,2900,热门好房，马上看房，上门实拍，上下楼方便,宜山路701弄,田林
高层/6层,http://sh.lianjia.com/zufang/shz3429442.html,4000,近地铁，随到随看，上门实拍，吉宅出租,花苑茶花园,康健
低层/18层,http://sh.lianjia.com/zufang/shz3439840.html,3800,随时可看，毗邻地铁，上下楼方便，如您所见,田林十四村,田林
高层/6层,http://sh.lianjia.com/zufang/shz3440806.html,3700,1室0厅1卫，有爱有家，近地铁，闹中取静,三江小区,龙华
高层/6层,http://sh.lianjia.com/zufang/shz3447311.html,4000,斜土路2200弄，1室1厅，钥匙在手，链家房源,斜土路2200弄,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3456398.html,3600,梅陇六村，一室小户型，采光好，有钥匙房源,梅陇六村,华东理工
中层/7层,http://sh.lianjia.com/zufang/shz3458155.html,4000,乐山六七村，放心好房，高清实拍，新出房源,乐山六七村,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3447990.html,3700,地铁房，新鲜挂牌，放心好房，上门实勘,凌云新村,华东理工
中层/3层,http://sh.lianjia.com/zufang/shz2839797.html,2800,宛平路297弄，光线充足，高清实拍，人气房源,宛平路297弄,衡山路
中层/3层,http://sh.lianjia.com/zufang/shz3382798.html,3800,紧邻地铁，业主降价，新鲜上架，温馨一室,南交小区,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3402278.html,3800,梅陇四村，小户型，享受好房，上门实拍,梅陇四村,华东理工
中层/6层,http://sh.lianjia.com/zufang/shz3406444.html,3200,上门实拍，交通便利，热门房源，看房方便,汇成二村,上海南站
中层/6层,http://sh.lianjia.com/zufang/shz3444649.html,4000,龙吴路11弄，上门实拍，随时可看，如您所见,龙吴路11弄,万体馆
中层/7层,http://sh.lianjia.com/zufang/shz1106107.html,3900,抢鲜笋盘，紧邻地铁，1室0厅，实地看房,裕德路66弄,徐家汇
低层/6层,http://sh.lianjia.com/zufang/shz3364085.html,4000,凯旋一村，热门房源，毗邻地铁，小户型,凯旋一村,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3358812.html,3300,热门带看，出行方便，降价出租，视野很好,梅苑,华东理工
低层/6层,http://sh.lianjia.com/zufang/shz3446955.html,3700,柿子湾小区，随时看房，低区出入方便，上门实拍,柿子湾小区,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz2203901.html,3300,地铁房，1室1厅1卫，高区阳光房，有钥匙房源,花苑村玉兰园,康健
高层/6层,http://sh.lianjia.com/zufang/shz3335165.html,3800,寿祥坊，一链倾城，高清实拍，高区景观好,寿祥坊,康健
高层/6层,http://sh.lianjia.com/zufang/shz3351704.html,3500,地铁直达，放心好房，光线非常好，看房方便,田林十三村,田林
低层/6层,http://sh.lianjia.com/zufang/shz3294267.html,3100,昌四小区，一链倾城，火热出租，1室1厅1卫,昌四小区,世博
低层/32层,http://sh.lianjia.com/zufang/shz3423383.html,3800,上门实勘，小户型，毗邻地铁，错过不再有,盛第大厦,花木
高层/6层,http://sh.lianjia.com/zufang/shz3422544.html,3500,黄山新村，紧邻地铁，高清实拍，看房方便,黄山新村,金杨
高层/6层,http://sh.lianjia.com/zufang/shz3441438.html,3500,杉林新月，有钥匙，上门实勘，新鲜好房,杉林新月（环林东路879弄）,三林
中层/6层,http://sh.lianjia.com/zufang/shz3442662.html,3600,来电即看，好楼层，地铁沿线，链家房源,金桥新村四街坊（长岛路1267弄）,金桥
高层/6层,http://sh.lianjia.com/zufang/shz3444134.html,3500,交通便利，新鲜挂牌，有爱有家，高清实拍,金杨新村十街坊,金杨
中层/5层,http://sh.lianjia.com/zufang/shz3444977.html,3700,上钢一村，温馨之家，景观房，新鲜好房,上钢一村,世博
高层/6层,http://sh.lianjia.com/zufang/shz3445079.html,3500,抢鲜笋盘，高区采光好，高清实拍，钥匙在手,思浦小区,三林
中层/6层,http://sh.lianjia.com/zufang/shz3445490.html,3800,泾华新村，抢鲜笋盘，链家房源，一室小户型,泾华新村,洋泾
低层/6层,http://sh.lianjia.com/zufang/shz3445632.html,2650,有钥匙立即看，上下楼方便，错过不再有，1室1厅1卫,富特四村,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3446991.html,4000,马上看房，链家房源，新鲜挂牌，视野很好,南杨小区（长清路）,三林
高层/6层,http://sh.lianjia.com/zufang/shz3447187.html,3800,天池二村，空气清新，地铁房，上门实勘,天池二村,北蔡
高层/6层,http://sh.lianjia.com/zufang/shz3449475.html,3500,新鲜上架，有钥匙立即看，好房好心情，温馨之家,杉林新月（环林东路879弄）,三林
中层/6层,http://sh.lianjia.com/zufang/shz3450992.html,4000,竹园新村，上门实勘，有钥匙立即看，黄金楼层,竹园新村（浦东）,源深
高层/6层,http://sh.lianjia.com/zufang/shz3451479.html,3600,金杨新村五街坊，上门实勘，有钥匙房源，交通便利,金杨新村五街坊,金杨
中层/14层,http://sh.lianjia.com/zufang/shz3452170.html,2300,随时看房，高清实拍，出行方便，温馨之家,达城锦园,康桥
高层/6层,http://sh.lianjia.com/zufang/shz3456064.html,3600,地铁房，真实在租，高区景观房，新鲜好房,东陆新村六街坊,金桥
高层/6层,http://sh.lianjia.com/zufang/shz3456806.html,4000,一室小户型，来电即看，闹中取静，出行方便,思浦小区,三林
高层/6层,http://sh.lianjia.com/zufang/shz3446678.html,3500,1室0厅，新出好房，上门实拍，享受好房,昌七小区,世博
高层/6层,http://sh.lianjia.com/zufang/shz3458409.html,3500,联丰新苑，有钥匙，1室0厅，吉宅出租,联丰新苑,三林
中层/6层,http://sh.lianjia.com/zufang/shz3388556.html,3800,梅陇七村，空气清新，小户型，高清实拍,梅陇七村,华东理工
高层/6层,http://sh.lianjia.com/zufang/shz3404491.html,3500,田林七村，上门实勘，有钥匙立即看，温馨之家,田林七村,田林
低层/6层,http://sh.lianjia.com/zufang/shz3429452.html,3500,好房好心情，地铁沿线，低区出入方便，高清实拍,汇成一村,上海南站
高层/6层,http://sh.lianjia.com/zufang/shz3430560.html,4000,东泉小区，一室小户型，远离雾霾带，紧邻地铁,东泉小区,植物园
高层/6层,http://sh.lianjia.com/zufang/shz3287894.html,4000,远离雾霾带，1室1厅1卫，高清实拍，一链倾城,花苑茶花园,康健
中层/6层,http://sh.lianjia.com/zufang/shz3430018.html,3800,寿山坊，近地铁，上门实拍，好楼层,寿山坊,康健
中层/6层,http://sh.lianjia.com/zufang/shz3334069.html,4000,樱花园，出行方便，好楼层，高清实拍,樱花园（徐汇）,康健
中层/6层,http://sh.lianjia.com/zufang/shz3419164.html,3200,梅陇六村，好房好心情，上门实拍，来电即看,梅陇六村,华东理工
低层/6层,http://sh.lianjia.com/zufang/shz3438325.html,3500,花苑茶花园，低楼层，随到随看，上门实勘,花苑茶花园,康健
中层/6层,http://sh.lianjia.com/zufang/shz3401690.html,3500,寿祥坊，出行方便，吉宅出租，高清实拍,寿祥坊,康健
高层/6层,http://sh.lianjia.com/zufang/shz3385308.html,4000,真实在租，高区采光好，上门实拍，钥匙房,谨斜小区,徐家汇
中层/7层,http://sh.lianjia.com/zufang/shz3351453.html,3800,龙南三村，享受好房，小户型，景观房,龙南三村,龙华
高层/4层,http://sh.lianjia.com/zufang/shz3408686.html,3800,1室1厅1卫，高区景观房，上门实拍，马上看房,龙华路2373弄,龙华
高层/28层,http://sh.lianjia.com/zufang/shz3418838.html,3800,迎春园，交通便利，随到随看，真实在租,迎春园,康健
高层/6层,http://sh.lianjia.com/zufang/shz3430963.html,3200,近地铁，真实在租，温馨一室，随到随看,康健路43弄,康健
低层/6层,http://sh.lianjia.com/zufang/shz3415096.html,3950,田林三村，交通便利，低区出入方便，刚刚降价,田林三村,田林
高层/6层,http://sh.lianjia.com/zufang/shz3307979.html,3800,地铁直达，真实在租，视野开阔，上门实拍,丰谷路315弄,龙华
中层/3层,http://sh.lianjia.com/zufang/shz2719726.html,2400,一室小户型，上门实勘，实地看房，出行方便,化工二三村,华东理工
低层/4层,http://sh.lianjia.com/zufang/shz3332985.html,3500,上下楼方便，钥匙房，上门实拍，热门房源,丁香园,康健
低层/6层,http://sh.lianjia.com/zufang/shz3334969.html,3600,汇成二村，链家好房，紧邻地铁，上下楼方便,汇成二村,上海南站
中层/6层,http://sh.lianjia.com/zufang/shz3457850.html,3700,一室小户型，马上看房，新出房源，上门实拍,恒大小区,世博
中层/18层,http://sh.lianjia.com/zufang/shz3457093.html,2500,抢鲜笋盘，紧邻地铁，上门实拍，空气清新,东源名都,高行
低层/25层,http://sh.lianjia.com/zufang/shz3450831.html,4000,开发浦东，低楼层，新鲜挂牌，上门实拍,开发浦东,潍坊
高层/6层,http://sh.lianjia.com/zufang/shz3447668.html,3200,闹中取静，上门实拍，享受好房，有钥匙,朱家门小区,金桥
低层/6层,http://sh.lianjia.com/zufang/shz3381885.html,2500,业主降价出租，上门实拍，钥匙房，享受好房,金钻苑,曹路
中层/5层,http://sh.lianjia.com/zufang/shz3377732.html,2200,空气清新，一链倾城，温馨一室，实地看房,川北小区,川沙
中层/6层,http://sh.lianjia.com/zufang/shz3451116.html,4000,抢鲜笋盘，出行方便，一室小户型，空气清新,罗山四村,金杨
低层/7层,http://sh.lianjia.com/zufang/shz3344242.html,3300,高清实拍，随到随看，低区出入方便，1室1厅1卫,浦江东旭公寓,金桥
高层/6层,http://sh.lianjia.com/zufang/shz3399555.html,4000,莲溪六村，南北户型，小户型，来电即看,莲溪六村,北蔡
低层/6层,http://sh.lianjia.com/zufang/shz3404004.html,4000,齐爱佳苑，链家房源，地铁直达，钥匙在手,齐爱佳苑,唐镇
中层/6层,http://sh.lianjia.com/zufang/shz3414252.html,3500,上南十一村，光线充足，毗邻地铁，钥匙在手,上南十一村,世博
中层/5层,http://sh.lianjia.com/zufang/shz3415342.html,3900,光线充足，生活很便利，随时看房，一室小户型,张杨路370弄,陆家嘴
低层/6层,http://sh.lianjia.com/zufang/shz3416268.html,3450,上南十村，1室1厅，有钥匙房源，交通便利,上南十村,世博
高层/6层,http://sh.lianjia.com/zufang/shz3416566.html,4000,思浦小区，温馨之家，近地铁，有钥匙立即看,思浦小区,三林
高层/6层,http://sh.lianjia.com/zufang/shz3417753.html,2100,巨峰家苑，上门实拍，采光这边独好，1室0厅,巨峰家苑（公寓）,金桥
低层/6层,http://sh.lianjia.com/zufang/shz3418178.html,3800,上门实勘，1室1厅，吉宅出租，看房方便,荷三小区,金桥
中层/6层,http://sh.lianjia.com/zufang/shz1024197.html,2500,紫叶花园，1室0厅，有钥匙，光线充足,紫叶花园,北蔡
低层/6层,http://sh.lianjia.com/zufang/shz3382058.html,3500,如您所见，1室1厅，低区出入方便，地铁房,新德四村,川沙
中层/5层,http://sh.lianjia.com/zufang/shz3409334.html,2600,高桥一村，光线充足，上门实勘，小户型,高桥一村,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3426051.html,3300,闹中取静，链家房源，高清实拍，温馨之家,金台三居,金杨
低层/6层,http://sh.lianjia.com/zufang/shz3353520.html,3200,上下楼方便，上门实拍，有爱有家，钥匙房,汇成一村,上海南站
高层/6层,http://sh.lianjia.com/zufang/shz3378650.html,3500,梅陇六村，空气清新，紧邻地铁，上门实勘,梅陇六村,华东理工
高层/6层,http://sh.lianjia.com/zufang/shz3381225.html,3700,链家好房，高区采光好，地铁直达，1室0厅,梅陇三村,华东理工
高层/6层,http://sh.lianjia.com/zufang/shz3384894.html,3800,采光好，上门实勘，钥匙房，热门房源,东荡小区,上海南站
高层/6层,http://sh.lianjia.com/zufang/shz3416539.html,3800,地铁沿线，闹中取静，来电即看，链家好房,乐山四五村,徐家汇
高层/6层,http://sh.lianjia.com/zufang/shz3419896.html,3500,田林十四村，上门实勘，生活很便利，有钥匙,田林十四村,田林
高层/6层,http://sh.lianjia.com/zufang/shz3353398.html,3900,小户型，一链倾城，生活很便利，空气清新,凯旋一村,徐家汇
高层/3层,http://sh.lianjia.com/zufang/shz3372662.html,3000,高清实拍，如您所见，钥匙在手，采光无敌好,金波小区,衡山路
低层/16层,http://sh.lianjia.com/zufang/shz3387898.html,4000,清枫大楼，上下楼方便，小户型，上门实拍,清枫大楼,斜土路
高层/6层,http://sh.lianjia.com/zufang/shz3435598.html,3800,上门实拍，1室1厅1卫，地铁直达，真实在租,梅陇六村,华东理工
中层/27层,http://sh.lianjia.com/zufang/shz3437452.html,3600,梅陇四村，近地铁，业主降价出租，业主新委托,梅陇四村,华东理工
中层/6层,http://sh.lianjia.com/zufang/shz3451063.html,3500,寿祥坊，新出房源，观望后悔莫及，上门实拍,寿祥坊,康健
低层/6层,http://sh.lianjia.com/zufang/shz3454723.html,4000,日晖二村，高清实拍，地铁房，低楼层,日晖二村,斜土路
中层/6层,http://sh.lianjia.com/zufang/shz3457496.html,3900,毗邻地铁，上门实拍，链家好房，业主刚降价,斜土路2200弄,徐家汇
中层/2层,http://sh.lianjia.com/zufang/shz3410979.html,3500,地铁房，新鲜好房，1室0厅1卫，上门实拍,高安路18弄,衡山路
高层/3层,http://sh.lianjia.com/zufang/shz3413139.html,4000,采光无敌好，1室0厅1卫，一链倾城，有钥匙,上方花园,衡山路
中层/6层,http://sh.lianjia.com/zufang/shz3432240.html,3800,享受好房，出行方便，小户型，黄金楼层,梅陇七村,华东理工
高层/6层,http://sh.lianjia.com/zufang/shz3432439.html,2600,汇成二村，温馨一室，上门实拍，交通便利,汇成二村,上海南站
高层/6层,http://sh.lianjia.com/zufang/shz3436815.html,3800,金塘小区，新鲜挂牌，交通便利，上门实勘,金塘小区,华东理工
低层/6层,http://sh.lianjia.com/zufang/shz3446277.html,3500,汇成一村，地铁沿线，随到随看，上门实拍,汇成一村,上海南站
低层/6层,http://sh.lianjia.com/zufang/shz3432546.html,3000,链家房源，上门实勘，低区出入方便，1室1厅,潼港八村,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3435877.html,3600,画家村，享受好房，交通便利，马上看房,画家村,金桥
高层/7层,http://sh.lianjia.com/zufang/shz3428954.html,3200,如您所见，上门实勘，交通便利，采光好,金杨新村三街坊,金杨
高层/6层,http://sh.lianjia.com/zufang/shz3437220.html,3500,三林世博家园，一室小户型，采光好，随时可看,三林世博家园（大道站路94弄）,三林
低层/6层,http://sh.lianjia.com/zufang/shz3402533.html,4000,吉宅出租，低楼层，近地铁，随时可看,梅园七街坊,源深
高层/6层,http://sh.lianjia.com/zufang/shz3407272.html,3500,栖山小区，近地铁，高清实拍，小户型,栖山小区,洋泾
中层/6层,http://sh.lianjia.com/zufang/shz3301002.html,4000,恒大华城梅山苑，随时看房，光线充足，1室1厅,恒大华城梅山苑,三林
高层/6层,http://sh.lianjia.com/zufang/shz3441406.html,4000,上南路3827弄，交通便利，温馨之家，好房好心情,上南路3827弄,三林
中层/6层,http://sh.lianjia.com/zufang/shz3434074.html,3600,上南四村，有钥匙，光线充足，错过不再有,上南四村,世博
中层/18层,http://sh.lianjia.com/zufang/shz3353205.html,3000,随到随看，上门实勘，地铁房，观望后悔莫及,地杰国际城,御桥
低层/6层,http://sh.lianjia.com/zufang/shz3396633.html,4000,上门实勘，有钥匙立即看，交通方便，吉宅出租,沂南路54弄,南码头
中层/6层,http://sh.lianjia.com/zufang/shz3404357.html,3700,昌里路301弄，上门实勘，业主降价出租，温馨之家,昌里路301弄,世博
低层/6层,http://sh.lianjia.com/zufang/shz3408105.html,4000,业主刚降价，上门实拍，小户型，低楼层,南杨小区（长清路）,三林
高层/6层,http://sh.lianjia.com/zufang/shz3409423.html,3600,罗山一村，享受好房，地铁房，看房有钥匙,罗山一村,金杨
高层/6层,http://sh.lianjia.com/zufang/shz3412155.html,2300,上门实勘，放心好房，钥匙在手，温馨之家,高桥二村,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3418117.html,3000,富特三村，看房方便，链家好房，降价出租,富特三村,外高桥
低层/11层,http://sh.lianjia.com/zufang/shz3431632.html,2000,港城新苑，来电即看，上门实拍，业主降价,港城新苑,外高桥
高层/6层,http://sh.lianjia.com/zufang/shz3434360.html,3500,思浦小区，好房好心情，出行方便，有钥匙房源,思浦小区,三林
低层/28层,http://sh.lianjia.com/zufang/shz3397066.html,4000,小户型，低区出入方便，有爱有家，看房有钥匙,仙都绿苑,金杨
高层/6层,http://sh.lianjia.com/zufang/shz2255003.html,3700,临沂六村，视野很好，随到随看，小户型,临沂六村,南码头
高层/6层,http://sh.lianjia.com/zufang/shz3447320.html,3500,老沪闵路439弄，来电即看，采光无敌好，上门实拍,老沪闵路439弄,华东理工
低层/6层,http://sh.lianjia.com/zufang/shz3448434.html,4000,田林六村，有钥匙房源，抢鲜笋盘，小户型,田林六村,田林
中层/6层,http://sh.lianjia.com/zufang/shz3456842.html,3800,上门实拍，温馨一室，抢鲜笋盘，随时可看,上缝小区,龙华
中层/6层,http://sh.lianjia.com/zufang/shz3376603.html,3600,番南小区，上门实拍，一室小户型，好楼层,番南小区,徐家汇
中层/6层,http://sh.lianjia.com/zufang/shz3433775.html,4000,长桥一村，一链倾城，上门实拍，光线充足,长桥一村,长桥
高层/6层,http://sh.lianjia.com/zufang/shz3396433.html,3800,漕泾一村，高清实拍，钥匙房，采光好,漕泾一村,康健
中层/6层,http://sh.lianjia.com/zufang/shz3421879.html,3300,华泾五村，随时看房，景观房，小户型,华泾五村,华泾
高层/5层,http://sh.lianjia.com/zufang/shz3384135.html,3800,1室1厅1卫，采光无敌好，上门实拍，真实在租,长桥一村,长桥
高层/6层,http://sh.lianjia.com/zufang/shz3365474.html,3600,降价房源，随时看房，一室小户型，放心好房,园南一村,上海南站
高层/6层,http://sh.lianjia.com/zufang/shz3399671.html,3600,梅陇七村，交通便利，小户型，降价出租,梅陇七村,华东理工
高层/6层,http://sh.lianjia.com/zufang/shz3400178.html,3300,降价出租，近地铁，闹中取静，高清实拍,凌云新村,华东理工
高层/6层,http://sh.lianjia.com/zufang/shz3422603.html,3300,寿山坊，刚刚降价，享受好房，小户型,寿山坊,康健
高层/6层,http://sh.lianjia.com/zufang/shz3427225.html,3200,梅陇六村，一链倾城，温馨一室，高区景观好,梅陇六村,华东理工
低层/14层,http://sh.lianjia.com/zufang/shz3432503.html,2730,链家好房，高清实拍，刚刚降价，毗邻地铁,爱建园,田林
中层/7层,http://sh.lianjia.com/zufang/shz3378000.html,4000,乐山六七村，紧邻地铁，人气房源，上门实拍,乐山六七村,徐家汇
中层/5层,http://sh.lianjia.com/zufang/shz3419055.html,3000,热门房源，好楼层，高清实拍，小户型,日晖六村,斜土路
中层/6层,http://sh.lianjia.com/zufang/shz3447733.html,3800,上门实拍，错过不再有，业主刚降价，新鲜好房,桂莘小区,康健
高层/6层,http://sh.lianjia.com/zufang/shz3285419.html,4000,柿子湾小区，上门实拍，高区景观房，1室1厅1卫,柿子湾小区,徐家汇
低层/6层,http://sh.lianjia.com/zufang/shz3379933.html,3500,梅陇七村，一室小户型，看房方便，交通方便,梅陇七村,华东理工
低层/6层,http://sh.lianjia.com/zufang/shz3386539.html,3500,梅陇七村，随时可看，温馨之家，低楼层,梅陇七村,华东理工
高层/5层,http://sh.lianjia.com/zufang/shz2726443.html,3500,塘南小区，热门带看，上门实勘，温馨之家,塘南小区,南码头
中层/6层,http://sh.lianjia.com/zufang/shz3325331.html,3800,稀缺南北通，随时看房，高清实拍，吉宅出租,德州四村,世博
中层/6层,http://sh.lianjia.com/zufang/shz3372901.html,4000,如您所见，钥匙房，交通方便，上门实拍,双桥小区,金桥
中层/6层,http://sh.lianjia.com/zufang/shz3378083.html,3200,潼港四村，吉宅出租，温馨之家，有钥匙立即看,潼港四村,外高桥
